wall_time_sec,mode,offline_wer,offline_wer_ci_mean,offline_wer_ci_low,offline_wer_ci_high,offline_wer_num_masked,offline_wer_num_masked_ci_mean,offline_wer_num_masked_ci_low,offline_wer_num_masked_ci_high,offline_n_ref_words,offline_cer,offline_cer_ci_mean,offline_cer_ci_low,offline_cer_ci_high,offline_n_ref_chars,offline_wer_norm,offline_wer_num_masked_norm,offline_cer_norm,offline_rtf,offline_total_audio_sec,offline_total_infer_sec,n_utts,offline_order_hash,streaming_wer,streaming_wer_ci_mean,streaming_wer_ci_low,streaming_wer_ci_high,streaming_wer_num_masked,streaming_wer_num_masked_ci_mean,streaming_wer_num_masked_ci_low,streaming_wer_num_masked_ci_high,streaming_n_ref_words,streaming_cer,streaming_cer_ci_mean,streaming_cer_ci_low,streaming_cer_ci_high,streaming_n_ref_chars,streaming_wer_norm,streaming_wer_num_masked_norm,streaming_cer_norm,streaming_rtf,streaming_total_audio_sec,streaming_total_infer_sec,streaming_latency_proxy_ms,streaming_chunk_ms,streaming_overlap_ms,streaming_lookahead_ms,streaming_n_chunks_total,streaming_avg_chunks_per_utt,stability_edit_overhead,stability_change_rate,stability_avg_step_edits,streaming_mode,stitch_policy,stateful,streaming_order_hash,delta_wer,delta_wer_num_masked,order_hash_match,wer,rtf,latency_proxy_ms,run_id,dataset_key,model_key,profile,latency_ms,dataset,model,streaming_wer_pct,streaming_wer_ci_low_pct,streaming_wer_ci_high_pct,delta_wer_pct,stability_change_rate_pct
72.73644989199988,1.0,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,2577.0,0.1133469758981355,0.1131588267001637,0.0950014835950964,0.1354418882205238,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0036403896223939,1156.784125,4.211144924000109,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.4117190531625921,0.4131557952125853,0.3772433335346876,0.4588573659552316,0.4117190531625921,0.4131557952125853,0.3772433335346876,0.4588573659552316,2577.0,0.2995679854479309,0.3008363782485479,0.2723422568042116,0.3353627048276545,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0301898520564504,1156.784125,34.923141595000516,1200.0,1200.0,200.0,0.0,1306.0,4.3533333333333335,0.9042956540369886,0.6447195767195767,2.0940026455026457,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.2239037640667442,0.2239037640667442,1.0,0.4117190531625921,0.0301898520564504,1200.0,speech_massive_vie_300__chunkformer_ctc_large_vie__lat1200__stream,speech_massive_vie_300,chunkformer_ctc_large_vie,lat1200,1200.0,Speech-MASSIVE_vie,ChunkFormer-CTC-large,41.17190531625921,37.72433335346876,45.885736595523156,22.39037640667442,64.47195767195767
54.481910210000024,1.0,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,2577.0,0.1133469758981355,0.1131588267001637,0.0950014835950964,0.1354418882205238,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0036492761248765,1156.784125,4.221424688998695,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.2859914629414047,0.2868961054257175,0.2472083029857283,0.3277238600045534,0.2859914629414047,0.2868961054257175,0.2472083029857283,0.3277238600045534,2577.0,0.2066848567530695,0.2081763420289209,0.1781019148959725,0.2381194793139612,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0160698764922959,1156.784125,18.58937801699858,2400.0,2400.0,200.0,0.0,674.0,2.2466666666666666,0.3478248477352271,0.4723015873015873,1.7728968253968254,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.0981761738455568,0.0981761738455568,1.0,0.2859914629414047,0.0160698764922959,2400.0,speech_massive_vie_300__chunkformer_ctc_large_vie__lat2400__stream,speech_massive_vie_300,chunkformer_ctc_large_vie,lat2400,2400.0,Speech-MASSIVE_vie,ChunkFormer-CTC-large,28.59914629414047,24.720830298572828,32.77238600045534,9.81761738455568,47.23015873015873
49.92280733200005,1.0,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,0.1878152890958478,0.1875384782407588,0.154942382512107,0.2227686176564474,2577.0,0.1133469758981355,0.1131588267001637,0.0950014835950964,0.1354418882205238,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0035734318795217,1156.784125,4.13368926999965,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.2138145129996119,0.2133260169107924,0.17751047731398,0.2498410978801955,0.2138145129996119,0.2133260169107924,0.17751047731398,0.2498410978801955,2577.0,0.1361982719417917,0.1358292604988249,0.1141372516576253,0.1616474862543015,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0117567379514282,1156.784125,13.600007823997204,4000.0,4000.0,200.0,0.0,436.0,1.4533333333333334,0.1132763965684723,0.1425,0.6983333333333334,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.025999223903764,0.025999223903764,1.0,0.2138145129996119,0.0117567379514282,4000.0,speech_massive_vie_300__chunkformer_ctc_large_vie__stream,speech_massive_vie_300,chunkformer_ctc_large_vie,lat4000,4000.0,Speech-MASSIVE_vie,ChunkFormer-CTC-large,21.381451299961192,17.751047731398,24.984109788019552,2.5999223903764,14.249999999999998
42.43269761800002,1.0,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,2577.0,0.1607548885857208,0.1609828599564561,0.1398975470586649,0.1809363593180288,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0018501314651069,1156.784125,2.1402027079986965,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.5168800931315483,0.5174968107204173,0.4790836547599083,0.5552590689770454,0.5168800931315483,0.5174968107204173,0.4790836547599083,0.5552590689770454,2577.0,0.3582310140973169,0.3593369677993292,0.3326116702665604,0.3889013002894871,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0061482464033668,1156.784125,7.112193836003144,1200.0,1200.0,200.0,0.0,1306.0,4.3533333333333335,1.0308197441361528,0.6371798941798942,2.078041005291005,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.2398137369033759,0.2398137369033759,1.0,0.5168800931315483,0.0061482464033668,1200.0,speech_massive_vie_300__wav2vec2_base_vn_250h__lat1200__stream,speech_massive_vie_300,wav2vec2_base_vn_250h,lat1200,1200.0,Speech-MASSIVE_vie,wav2vec2-base-vi,51.68800931315482,47.90836547599083,55.52590689770454,23.98137369033759,63.717989417989415
38.632497752999825,1.0,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,2577.0,0.1607548885857208,0.1609828599564561,0.1398975470586649,0.1809363593180288,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0012517825389419,1156.784125,1.4480421690002458,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.3903764066744276,0.3916022552458839,0.356367263851203,0.4343430154351497,0.3903764066744276,0.3916022552458839,0.356367263851203,0.4343430154351497,2577.0,0.256025466120964,0.2581480766223205,0.2291420186917624,0.2896690091568922,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0034678806739322,1156.784125,4.01158931099917,2400.0,2400.0,200.0,0.0,674.0,2.2466666666666666,0.3650552014065367,0.4756349206349207,1.7539682539682535,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.1133100504462553,0.1133100504462553,1.0,0.3903764066744276,0.0034678806739322,2400.0,speech_massive_vie_300__wav2vec2_base_vn_250h__lat2400__stream,speech_massive_vie_300,wav2vec2_base_vn_250h,lat2400,2400.0,Speech-MASSIVE_vie,wav2vec2-base-vi,39.03764066744276,35.6367263851203,43.43430154351497,11.331005044625531,47.56349206349207
40.47270519799986,1.0,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,0.2770663562281723,0.27780359719394,0.2412337775841575,0.3129383502035827,2577.0,0.1607548885857208,0.1609828599564561,0.1398975470586649,0.1809363593180288,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.00179054915281,1156.784125,2.071278835002886,300.0,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.3038416763678696,0.3043219859309835,0.2694807665698077,0.3414128951686276,0.3038416763678696,0.3043219859309835,0.2694807665698077,0.3414128951686276,2577.0,0.1842883128694861,0.184885343527246,0.1582351155897357,0.2089646435784126,8796.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0048915804234507,1156.784125,5.658502580008644,4000.0,4000.0,200.0,0.0,436.0,1.4533333333333334,0.096903699774224,0.1425,0.6358333333333334,simulation,lcs,False,b1e8423402560f07df379a1164c1b6fe0196a896b898540385a49af0b3da9aca,0.0267753201396973,0.0267753201396973,1.0,0.3038416763678696,0.0048915804234507,4000.0,speech_massive_vie_300__wav2vec2_base_vn_250h__stream,speech_massive_vie_300,wav2vec2_base_vn_250h,lat4000,4000.0,Speech-MASSIVE_vie,wav2vec2-base-vi,30.38416763678696,26.948076656980767,34.14128951686276,2.67753201396973,14.249999999999998
86.17568143599999,1.0,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,3288.0,0.0199817518248175,0.0203014681777403,0.0152049589281207,0.0275412351918138,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0037723121451687,1155.2124999999992,4.3578221440008065,300.0,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.2077250608272506,0.2083110169349622,0.1906580136385848,0.2295026690738481,0.2077250608272506,0.2083110169349622,0.1906580136385848,0.2295026690738481,3288.0,0.1699817518248175,0.1707313216539457,0.1531585976027778,0.1903752963168262,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.027648490186871,1155.2124999999992,31.939881470000728,1200.0,1200.0,200.0,0.0,1305.0,4.35,0.8736374456153866,0.7910952380952381,2.7040873015873017,simulation,lcs,False,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.1733576642335766,0.1733576642335766,1.0,0.2077250608272506,0.027648490186871,1200.0,vivos_300__chunkformer_ctc_large_vie__lat1200__stream,vivos_300,chunkformer_ctc_large_vie,lat1200,1200.0,VIVOS,ChunkFormer-CTC-large,20.77250608272506,19.06580136385848,22.95026690738481,17.33576642335766,79.10952380952381
60.69697889300005,1.0,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,3288.0,0.0199817518248175,0.0203014681777403,0.0152049589281207,0.0275412351918138,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0034054628252371,1155.2124999999992,3.934033223999222,300.0,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.1110097323600973,0.112268836495891,0.0949206598586017,0.1307940687149483,0.1110097323600973,0.112268836495891,0.0949206598586017,0.1307940687149483,3288.0,0.0931569343065693,0.0942588104207561,0.0792757752903105,0.1118769117595715,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0151892147236975,1155.2124999999992,17.546770713999422,2400.0,2400.0,200.0,0.0,661.0,2.203333333333333,0.3557017750767751,0.725,3.2977777777777777,simulation,lcs,False,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.0766423357664233,0.0766423357664233,1.0,0.1110097323600973,0.0151892147236975,2400.0,vivos_300__chunkformer_ctc_large_vie__lat2400__stream,vivos_300,chunkformer_ctc_large_vie,lat2400,2400.0,VIVOS,ChunkFormer-CTC-large,11.10097323600973,9.492065985860169,13.07940687149483,7.664233576642331,72.5
65.02761628000007,1.0,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,0.0343673965936739,0.0348201460133015,0.0267601398691832,0.04387605671304,3288.0,0.0199817518248175,0.0203014681777403,0.0152049589281207,0.0275412351918138,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0037830998798906,1155.2124999999992,4.3702842699981375,300.0,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.0617396593673965,0.0626531267754275,0.0485108417839325,0.0757025342325771,0.0617396593673965,0.0626531267754275,0.0485108417839325,0.0757025342325771,3288.0,0.0457116788321167,0.0464517966318921,0.0342896744162468,0.0592833113257827,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0104483199844161,1155.2124999999992,12.070029849997354,4000.0,4000.0,200.0,0.0,457.0,1.5233333333333334,0.0833028760168853,0.265,0.7383333333333333,simulation,lcs,False,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.0273722627737226,0.0273722627737226,1.0,0.0617396593673965,0.0104483199844161,4000.0,vivos_300__chunkformer_ctc_large_vie__stream,vivos_300,chunkformer_ctc_large_vie,lat4000,4000.0,VIVOS,ChunkFormer-CTC-large,6.173965936739649,4.851084178393251,7.57025342325771,2.73722627737226,26.5
49.00421600300001,1.0,0.0888077858880778,0.089555794817289,0.076873429912564,0.1022131242188773,0.0888077858880778,0.089555794817289,0.076873429912564,0.1022131242188773,3288.0,0.0427007299270073,0.0431201870497678,0.0366588695033975,0.0517090396064175,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0021235188010864,1155.2124999999992,2.453115463000131,300.0,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.3190389294403893,0.3200691237251455,0.295015168896506,0.3448752595754499,0.3190389294403893,0.3200691237251455,0.295015168896506,0.3448752595754499,3288.0,0.2395985401459854,0.240173573342542,0.2191191500500774,0.2624367869941306,10960.0,strict_vi,strict_vi+mask_numbers,strict_vi_no_space,0.0061113935323573,1155.2124999999992,7.059958200998381,1200.0,1200.0,200.0,0.0,1305.0,4.35,0.863248088870767,0.7835952380952381,2.7766111111111114,simulation,lcs,False,e8bfc0e23c398c4e3f1527b7604ddbb0250f69000dc969a22171593c9cb89094,0.2302311435523114,0.2302311435523114,1.0,0.3190389294403893,0.0061113935323573,1200.0,vivos_300__wav2vec2_base_vn_250h__lat1200__stream,vivos_300,wav2vec2_base_vn_250h,lat1200,1200.0,VIVOS,wav2vec2-base-vi,31.90389294403893,29.5015168896506,34.48752595754499,23.02311435523114,78.35952380952381
